t,x
5.9828490495, -0.9737042684
5.9837915273, -0.9748045010
5.9847340051, -0.9759049955
5.9856764829, -0.9770057512
5.9866189607, -0.9781067674
5.9875614385, -0.9792080430
5.9885039163, -0.9803095775
5.9894463941, -0.9814113700
5.9903888719, -0.9825134196
5.9913313497, -0.9836157257
5.9922738275, -0.9847182873
5.9932163053, -0.9858211036
5.9941587830, -0.9869241740
5.9951012608, -0.9880274975
5.9960437386, -0.9891310734
5.9969862164, -0.9902349009
5.9979286942, -0.9913389791
5.9988711720, -0.9924433073
5.9998136498, -0.9935478846
6.0007561276, -0.9946527103
6.0016986054, -0.9957577836
6.0026410832, -0.9968631036
6.0035835610, -0.9979686695
6.0045260388, -0.9990744806
6.0054685166, -1.0001805360
6.0064109944, -1.0012868349
6.0073534722, -1.0023933766
6.0082959500, -1.0035001602
6.0092384278, -1.0046071849
6.0101809056, -1.0057144498
6.0111233834, -1.0068219543
6.0120658612, -1.0079296975
6.0130083390, -1.0090376786
6.0139508168, -1.0101458967
6.0148932946, -1.0112543511
6.0158357724, -1.0123630410
6.0167782502, -1.0134719656
6.0177207280, -1.0145811240
6.0186632057, -1.0156905154
6.0196056835, -1.0168001391
6.0205481613, -1.0179099942
6.0214906391, -1.0190200799
6.0224331169, -1.0201303954
6.0233755947, -1.0212409399
6.0243180725, -1.0223517126
6.0252605503, -1.0234627127
6.0262030281, -1.0245739394
6.0271455059, -1.0256853919
6.0280879837, -1.0267970693
6.0290304615, -1.0279089708
6.0299729393, -1.0290210957
6.0309154171, -1.0301334431
6.0318578949, -1.0312460122
6.0328003727, -1.0323588022
6.0337428505, -1.0334718123
6.0346853283, -1.0345850417
6.0356278061, -1.0356984895
6.0365702839, -1.0368121550
6.0375127617, -1.0379260374
6.0384552395, -1.0390401358
6.0393977173, -1.0401544494
6.0403401951, -1.0412689774
6.0412826729, -1.0423837190
6.0422251506, -1.0434986734
6.0431676284, -1.0446138398
6.0441101062, -1.0457292173
6.0450525840, -1.0468448052
6.0459950618, -1.0479606026
6.0469375396, -1.0490766087
6.0478800174, -1.0501928227
6.0488224952, -1.0513092439
6.0497649730, -1.0524258712
6.0507074508, -1.0535427041
6.0516499286, -1.0546597416
6.0525924064, -1.0557769829
6.0535348842, -1.0568944273
6.0544773620, -1.0580120738
6.0554198398, -1.0591299218
6.0563623176, -1.0602479703
6.0573047954, -1.0613662185
6.0582472732, -1.0624846657
6.0591897510, -1.0636033111
6.0601322288, -1.0647221537
6.0610747066, -1.0658411928
6.0620171844, -1.0669604276
6.0629596622, -1.0680798573
6.0639021400, -1.0691994810
6.0648446178, -1.0703192979
6.0657870956, -1.0714393073
6.0667295733, -1.0725595082
6.0676720511, -1.0736798999
6.0686145289, -1.0748004815
6.0695570067, -1.0759212523
6.0704994845, -1.0770422114
6.0714419623, -1.0781633580
6.0723844401, -1.0792846913
6.0733269179, -1.0804062104
6.0742693957, -1.0815279146
6.0752118735, -1.0826498031
6.0761543513, -1.0837718749
6.0770968291, -1.0848941293
6.0780393069, -1.0860165655
6.0789817847, -1.0871391826
6.0799242625, -1.0882619799
6.0808667403, -1.0893849564
6.0818092181, -1.0905081115
6.0827516959, -1.0916314442
6.0836941737, -1.0927549538
6.0846366515, -1.0938786394
6.0855791293, -1.0950025002
6.0865216071, -1.0961265354
6.0874640849, -1.0972507441
6.0884065627, -1.0983751256
6.0893490405, -1.0994996791
6.0902915182, -1.1006244036
6.0912339960, -1.1017492984
6.0921764738, -1.1028743627
6.0931189516, -1.1039995956
6.0940614294, -1.1051249963
6.0950039072, -1.1062505640
6.0959463850, -1.1073762979
6.0968888628, -1.1085021971
6.0978313406, -1.1096282608
6.0987738184, -1.1107544883
6.0997162962, -1.1118808786
6.1006587740, -1.1130074310
6.1016012518, -1.1141341447
6.1025437296, -1.1152610187
6.1034862074, -1.1163880523
6.1044286852, -1.1175152447
6.1053711630, -1.1186425950
6.1063136408, -1.1197701024
6.1072561186, -1.1208977662
6.1081985964, -1.1220255854
6.1091410742, -1.1231535592
6.1100835520, -1.1242816868
6.1110260298, -1.1254099675
6.1119685076, -1.1265384003
6.1129109854, -1.1276669845
6.1138534632, -1.1287957191
6.1147959409, -1.1299246035
6.1157384187, -1.1310536368
6.1166808965, -1.1321828180
6.1176233743, -1.1333121465
6.1185658521, -1.1344416214
6.1195083299, -1.1355712419
6.1204508077, -1.1367010071
6.1213932855, -1.1378309162
6.1223357633, -1.1389609684
6.1232782411, -1.1400911629
6.1242207189, -1.1412214988
6.1251631967, -1.1423519753
6.1261056745, -1.1434825916
6.1270481523, -1.1446133468
6.1279906301, -1.1457442402
6.1289331079, -1.1468752709
6.1298755857, -1.1480064380
6.1308180635, -1.1491377408
6.1317605413, -1.1502691784
6.1327030191, -1.1514007500
6.1336454969, -1.1525324548
6.1345879747, -1.1536642919
6.1355304525, -1.1547962605
6.1364729303, -1.1559283598
6.1374154081, -1.1570605889
6.1383578858, -1.1581929471
6.1393003636, -1.1593254335
6.1402428414, -1.1604580472
6.1411853192, -1.1615907875
6.1421277970, -1.1627236535
